date,gbp_usd,source
2025-01-01,1.2529,"frankfurter.app (ECB reference rate), nearest available: 2024-12-31"
2025-02-01,1.2431,"frankfurter.app (ECB reference rate), nearest available: 2025-01-31"
2025-03-01,1.2603,"frankfurter.app (ECB reference rate), nearest available: 2025-02-28"
2025-04-01,1.2894,frankfurter.app (ECB reference rate)
2025-05-01,1.3352,"frankfurter.app (ECB reference rate), nearest available: 2025-04-30"
2025-06-01,1.3480,"frankfurter.app (ECB reference rate), nearest available: 2025-05-30"
2025-07-01,1.3700,"ECB reference rate (EUR cross), nearest available: 2025-06-30 -- computed as USD/EUR / GBP/EUR (1.1720 / 0.8555) from the ECB's own published EUR-denominated rates, not fetched from frankfurter.app directly (sandboxed session, api.frankfurter.app not reachable -- see docs/2026-08-12_matrixify_sheet_bridge.md). Should match frankfurter.app's own GBP/USD figure for this date since both derive from the same ECB reference set, but this specific value hasn't been cross-checked against a live frankfurter.app call -- worth a quick verification next time that domain is reachable."
2025-12-01,1.3267,frankfurter.app (ECB reference rate)
2026-01-01,1.3466,"frankfurter.app (ECB reference rate), nearest available: 2025-12-31"
2026-02-01,1.3760,"frankfurter.app (ECB reference rate), nearest available: 2026-01-30"
2026-03-01,1.3471,"frankfurter.app (ECB reference rate), nearest available: 2026-02-27"
2026-04-01,1.3322,frankfurter.app (ECB reference rate)
2026-05-01,1.3509,"frankfurter.app (ECB reference rate), nearest available: 2026-04-30"
2026-06-01,1.3465,frankfurter.app (ECB reference rate)
2026-07-01,1.3250,"googlefinance (sheet AA, month rate)"
2026-08-01,1.3421,"frankfurter.app (ECB reference rate), nearest available: 2026-07-31"
