sku,product,category,subcategory,theme,owner,explicit,latent,total,syndicated_copies,examples
CDB-BOBB-379-1BR,BOBBIN Closet Bar Handle - Brass,Handle,,Unclassified,PRODUCT,3,0,3,1,I've never held anything so luxurious in all my life! If you're thinking of ordering these - just do it! 😍 || These look and feel great. Make sure to measure the holes for each handle individually because there was some variation between each of them. I had a small issue and Plank went above and beyond to help me out. I would de
ADH-HOFF-090-1AB-R,HOFFMAN 90mm Hook - Antique Brass,Hook,Double Fixing Hook,Fixings & screws,PRODUCT,2,1,3,1,"Screws that come with aren’t pictured, but the ones we received are black and really stand out against the brass hooks. Kind of disappointing given the price || but perfect for. Little pricey but perfect for what I wanted in remodeled master bathroom. Wish the screws were same color as hook though. Looks great. Will paint screw head."
XMS-00M4-016-2SS,M4 Screws - Mixed Sizes,Components,,Fixings & screws,PRODUCT,2,1,3,1,"Not much you can say about a screw! || however, to discover that the screw head had a single slot. I had to dig for a bit to find an appropriate screwdriver."
ASH-PULL-052-1AB,PULLMAN Hook - Antique Brass,Hook,Single Fixing Hook,Fixings & screws,PRODUCT,2,0,2,0,"Looks good, easy to fit, mounting pieces are a bit small for something that would be truly load bearing but it's decorative in our case so no issues. || Lovely hooks visually, however I am questioning the quality as one didn’t screw in- could just be pulled off. Another screw broke inside the wood whilst putting it on- no fault of our own."
HK-LEVI-80-BK,LEVI Hook - Black,Hook,Double Fixing Hook,Fixings & screws,PRODUCT,2,0,2,0,"These hooks are perfect for our home’s midcentury look! We are using in our entry as coat hooks and they are well made, heavy and so sleek. Easy to install and come with necessary screws. So happy with the quality and th || Quality of the handels is good, however the scews supplied are really soft and rounded off. A plasterboard screw is too thick to pass through the hole, so i had to redrill the pre drilled holes to increase the diameter"
KH-KEPLER-57-BR,KEPLER Knurled Single T Handle - Brass,Handle,Single T,Fixings & screws,PRODUCT,2,0,2,0,"Similar to the larger handles, really excellent product that looks and feels great. Small issue of the slight twisting they too over time since it’s just one screw holding them in. || Great product!!... just check the length of the screw matches the thickness of your door panels as you may need to change to a longer threaded rod, or recess the back of the door to screw the provided rod into the handle"
KH-KEPLER-160-BR,KEPLER Knurled T-Bar Handle - Brass,Handle,T Bar,Unclassified,PRODUCT,2,0,2,1,Stop sending me spam emails || I liked it at first but then oxidised quite a bit so not so much atm :/
CKN-KEPL-031-1AB,KEPLER Knurled Knob - Antique Brass,Knob,Knob,Unclassified,PRODUCT,2,0,2,1,"High quality, modern look. 100% no regrets || High quality, modern look. 100% no regrets"
KH-KEPLER-160-AB,KEPLER Knurled T-Bar Handle - Antique Brass,Handle,T Bar,Delivery,OPS,2,0,2,1,"Awesome product, quick delivery, very well packaged. || Awesome product, quick delivery, very well packaged."
KH-FRANKLIN-21-AB,FRANKLIN Knurled Button Knob - Antique Brass,,,Unclassified,PRODUCT,2,0,2,1,"these are elegant, understated and functional knobs - also different! everybody loves them.  I'm so glad we found this company. || these are elegant, understated and functional knobs - also different! everybody loves them.  I'm so glad we found this company."
KH-FRANKLIN-21-AB,FRANKLIN Knurled Button Knob - Antique Brass,,,Delivery,OPS,2,0,2,1,It took so long for the product to come to me. I gave up and went with another product from another vendor. Slow shipping time! || It took so long for the product to come to me. I gave up and went with another product from another vendor. Slow shipping time!
KH-KEPLER-57-BR,KEPLER Knurled Single T Handle - Brass,Handle,Single T,Unclassified,PRODUCT,2,0,2,1,hard to clean when oxydise :/ || hard to clean when oxydise :/
ADH-SPRA-076-1AB,SPRATT Winged Hook - Antique Brass,Hook,,Unclassified,PRODUCT,2,0,2,1,"This product is for tea towels or a single small coat, this is not a traditional coat hook despite the design/looks. Please make a bigger version! || This product is for tea towels or a single small coat, this is not a traditional coat hook despite the design/looks. Please make a bigger version!"
KH-BLAKE-150-BR,BLAKE Handle - Brass,Handle,Solid Bar,Value for money,PRODUCT,2,0,2,1,For the price paid I wouldn’t expect defects || For the price paid I wouldn’t expect defects
HK-PULLMAN-52-AL-BK,PULLMAN Hook - Black,Hook,Single Fixing Hook,Fixings & screws,PRODUCT,2,0,2,1,Good quality product but raw plug inadequate. Had to go and buy something more substantial from a hardware store. || Good quality product but raw plug inadequate. Had to go and buy something more substantial from a hardware store.
CDB-BOBB-175-1BR,BOBBIN Handle - Brass,Handle,D Bar,Fixings & screws,PRODUCT,1,2,3,1,slightly longer to go through my wardrobe doors || slightly longer to go through my wardrobe doors
KTH-KH-LOVELL-28-BK,LOVELL Circular Hook - Black,,,Size & dimensions,PRODUCT,1,2,3,2,"Excellent quality with everything needed included. Delivery great. Although adequate, hooks look much larger on the website than they actually are, although dimensions given I am sure it means nothing to most customers.  || a bit too long but easy to cut down."
ADH-HOFF-090-1AB-R,HOFFMAN 90mm Hook - Antique Brass,Hook,Double Fixing Hook,Value for money,PRODUCT,1,1,2,1,but perfect for. Little pricey but perfect for what I wanted in remodeled master bathroom. Wish the screws were same color as hook though. Looks great. Will paint screw head. || Little pricey but perfect for what I wanted in remodeled master bathroom. Wish the screws were same color as hook though. Looks great. Will paint screw head.
ASH-PULL-052-1AB,PULLMAN Hook - Antique Brass,Hook,Single Fixing Hook,Finish & colour mismatch,PRODUCT,1,0,1,0,"Nothing like the colour it shows in the picture , good quality but just not the thing, it’s nearly black"
CLB-KEPL-100-1AB,KEPLER Knurled L-Bar Handle - Antique Brass,Handle,L Bar,Returns & exchange friction,OPS,1,0,1,0,"Absolutely great product just very slow to exchange, wish I had returned for a refund and ordered the new handles to save time."
ADH-LEVI-080-1AB,LEVI Hook - Antique Brass,Hook,Double Fixing Hook,Fixings & screws,PRODUCT,1,0,1,0,Sorry but the screws sent will not hold this hook in a plaster wall. It is too heave for them.
ADH-HOFF-150-1BR,HOFFMAN 150mm Hook - Brass,Hook,Double Fixing Hook,Fixings & screws,PRODUCT,1,0,1,0,"These brass hooks feature sleek, clean lines and are significantly weighted. The included brass screws and anchors make installing them easy."
CDB-BOBB-175-1BG,BOBBIN Handle - Burgundy,Handle,D Bar,Coating & durability,PRODUCT,1,0,1,0,"Chipped and visible gold underneath, clearly just sprayed burgundy that chips off"
GB-KIT-ETOG-MAXW-2G-1AB,MAXWELL 2G Two Way Smooth Toggle Light Switch - Antique Brass,Switch & Dimmer,Toggle Switch,Installation difficulty,PRODUCT,1,0,1,0,"Looks great, good quality and adds finishing touches to the room with the brushed brass sockets from Plank. It’s a tight fit in a 25mm box and I didn’t quite understand diagram 6 in instructions but got there in the end "
GB-KIT-ETOG-MAXW-2G-1AB,MAXWELL 2G Two Way Smooth Toggle Light Switch - Antique Brass,Switch & Dimmer,Toggle Switch,Coating & durability,PRODUCT,1,0,1,0,The plate was scratched and I had to order a new one
GB-KIT-EDIM-KEPL-1G-1AB,KEPLER 1G Knurled Dimmer Light Switch - Antique Brass,Switch & Dimmer,Dimmer Switch,Grip & usability,PRODUCT,1,0,1,0,"Looks good, quality is fine  Installation is fiddly, the sticky pad which clips the module to the frame is not strong enough and constantly pops off during install. The plastic lugs of the connecting plastic piece are aw"
GB-KIT-EDIM-KEPL-1G-1AB,KEPLER 1G Knurled Dimmer Light Switch - Antique Brass,Switch & Dimmer,Dimmer Switch,Installation difficulty,PRODUCT,1,0,1,0,"Looks good, quality is fine  Installation is fiddly, the sticky pad which clips the module to the frame is not strong enough and constantly pops off during install. The plastic lugs of the connecting plastic piece are aw"
GB-KIT-EDIM-KEPL-4G-1AB,KEPLER 4G Knurled Dimmer Light Switch - Antique Brass,Switch & Dimmer,Dimmer Switch,Grip & usability,PRODUCT,1,0,1,1,"Looks the part but fitting is fiddly, the sticky pads which the control modules attach to are not strong enough   The unit looks good but really not keen on the quality of the clip in sticky back piece which is awkward t"
GB-KIT-EDIM-KEPL-4G-1AB,KEPLER 4G Knurled Dimmer Light Switch - Antique Brass,Switch & Dimmer,Dimmer Switch,Installation difficulty,PRODUCT,1,0,1,1,"Looks the part but fitting is fiddly, the sticky pads which the control modules attach to are not strong enough   The unit looks good but really not keen on the quality of the clip in sticky back piece which is awkward t"
CDB-GRAY-111-1AG,GRAYSON Handle - Aged Brass,Handle,D Bar,Unclassified,PRODUCT,1,0,1,0,We did not receive a packing list or any tagging on the order.
